Timestamp,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4
1700108776.451120,4398.077148,4411.922852,4194.230957,4274.487305,4319.743652
1700108776.458930,4405.641113,4406.922852,4177.820313,4289.487305,4322.436035
1700108776.466740,4396.538574,4387.179688,4166.666504,4297.307617,4328.333496
1700108776.474550,4381.282227,4404.102539,4141.794922,4297.307617,4324.871582
1700108776.482360,4379.358887,4425.769043,4117.307617,4299.743652,4318.333496
1700108776.490170,4381.794922,4412.563965,4128.974121,4282.051270,4315.897461
1700108776.497980,4394.871582,4400.384766,4154.358887,4267.436035,4314.743652
1700108776.505790,4418.974121,4410.256348,4158.846191,4287.051270,4319.743652
1700108776.513600,4418.461426,4422.436035,4166.794922,4300.641113,4328.846191
1700108776.521410,4397.948730,4425.641113,4190.000000,4292.563965,4331.025879
1700108776.529220,4398.717773,4416.410156,4192.051270,4296.282227,4331.282227
1700108776.537030,4407.563965,4410.128418,4179.871582,4298.717773,4330.897461
1700108776.544840,4403.846191,4424.102539,4185.000000,4286.666504,4322.051270
1700108776.552650,4409.615234,4429.615234,4175.384766,4289.358887,4317.436035
1700108776.560460,4412.436035,4404.487305,4139.358887,4298.974121,4320.641113
1700108776.568270,4387.307617,4391.025879,4133.077148,4292.179688,4314.230957
1700108776.576080,4376.666504,4418.974121,4148.333496,4285.897461,4308.717773
1700108776.583890,4402.307617,4450.641113,4141.666504,4289.230957,4319.230957
1700108776.591700,4416.410156,4449.871582,4148.717773,4296.538574,4322.820313
1700108776.599510,4407.307617,4428.333496,4175.897461,4304.487305,4315.897461
1700108776.607320,4404.743652,4409.358887,4168.333496,4296.153809,4324.230957
1700108776.615130,4404.615234,4402.179688,4151.153809,4284.487305,4336.025879
1700108776.622940,4398.205078,4407.692383,4165.897461,4301.153809,4330.769043
1700108776.630750,4398.333496,4417.563965,4171.153809,4317.051270,4327.436035
1700108776.638560,4403.717773,4419.743652,4159.871582,4304.871582,4333.461426
1700108776.646370,4405.128418,4415.384766,4164.743652,4295.512695,4334.102539
1700108776.654180,4401.538574,4415.128418,4158.333496,4295.384766,4333.333496
1700108776.661990,4397.307617,4418.974121,4133.846191,4292.436035,4333.589844
1700108776.669800,4396.922852,4419.871582,4138.461426,4299.102539,4325.000000
1700108776.677610,4394.487305,4415.769043,4158.205078,4301.666504,4318.461426
1700108776.685420,4389.743652,4409.230957,4154.871582,4291.666504,4325.897461
1700108776.693230,4398.461426,4403.717773,4150.256348,4294.743652,4336.538574
1700108776.701040,4404.358887,4401.025879,4151.666504,4297.948730,4337.948730
1700108776.708850,4387.948730,4401.538574,4142.307617,4289.102539,4332.307617
1700108776.716660,4389.102539,4409.871582,4144.743652,4298.589844,4331.538574
1700108776.724470,4415.512695,4427.692383,4161.922852,4306.922852,4336.410156
1700108776.732280,4414.230957,4439.230957,4163.077148,4287.563965,4330.769043
1700108776.740090,4400.000000,4429.615234,4168.974121,4287.692383,4324.615234
1700108776.747900,4414.871582,4412.563965,4191.153809,4311.538574,4340.897461
1700108776.755710,4421.025879,4411.922852,4182.436035,4310.384766,4355.384766
1700108776.763520,4405.769043,4424.230957,4157.179688,4300.384766,4345.897461
1700108776.771330,4409.615234,4431.025879,4161.794922,4302.179688,4344.615234
1700108776.779140,4413.205078,4436.025879,4158.077148,4296.538574,4357.692383
1700108776.786950,4398.205078,4445.512695,4137.051270,4300.769043,4353.589844
1700108776.794760,4403.333496,4444.358887,4148.461426,4314.871582,4345.128418
1700108776.802570,4417.051270,4434.230957,4155.256348,4299.102539,4349.358887
1700108776.810380,4406.922852,4434.487305,4128.717773,4278.846191,4344.871582
1700108776.818190,4403.461426,4434.358887,4136.922852,4290.128418,4338.077148
1700108776.826000,4408.205078,4424.615234,4165.384766,4294.102539,4345.128418
1700108776.833810,4388.974121,4423.205078,4152.563965,4276.666504,4337.563965
1700108776.841620,4375.769043,4420.000000,4152.051270,4271.025879,4314.358887
1700108776.849430,4395.128418,4403.846191,4181.538574,4280.256348,4320.000000
1700108776.857240,4413.589844,4404.743652,4179.743652,4294.358887,4349.358887
1700108776.865050,4418.974121,4421.538574,4176.282227,4305.256348,4359.102539
1700108776.872860,4421.153809,4426.922852,4197.948730,4300.000000,4349.358887
1700108776.880670,4411.410156,4434.871582,4189.102539,4296.794922,4343.077148
1700108776.888480,4400.128418,4444.871582,4170.769043,4303.974121,4341.538574
1700108776.896290,4406.153809,4433.974121,4184.487305,4295.641113,4339.102539
1700108776.904100,4417.820313,4426.153809,4186.025879,4288.974121,4339.358887
1700108776.911910,4420.897461,4433.974121,4173.333496,4304.615234,4341.922852
1700108776.919720,4412.307617,4429.615234,4178.846191,4303.333496,4340.897461
1700108776.927530,4399.102539,4421.794922,4180.384766,4288.974121,4340.000000
1700108776.935340,4403.589844,4428.974121,4181.410156,4304.230957,4347.563965
1700108776.943150,4422.692383,4434.358887,4191.922852,4316.410156,4358.205078
1700108776.950960,4424.487305,4432.307617,4180.000000,4299.871582,4361.922852
1700108776.958770,4411.666504,4426.153809,4173.846191,4297.051270,4363.205078
1700108776.966580,4411.666504,4415.256348,4203.461426,4303.205078,4366.410156
1700108776.974390,4422.051270,4415.000000,4205.641113,4291.666504,4368.077148
1700108776.982200,4422.179688,4420.256348,4173.333496,4291.025879,4368.717773
1700108776.990010,4409.871582,4414.871582,4175.769043,4305.769043,4372.179688
1700108776.997820,4409.230957,4418.846191,4200.641113,4312.820313,4381.538574
1700108777.005630,4426.922852,4430.128418,4197.820313,4323.333496,4394.230957
1700108777.013440,4426.410156,4422.307617,4176.666504,4327.948730,4393.077148
